,Year,State,CountyID,County,All AgesinPovertyCount,AllAgesinPovertyPercent,LaborForce,Employed,Unemployed,UnemploymentRate
0,2018,29,29000,Missouri,"785,343",13.2,,,,3.4,
1,2018,29,29001,Adair County (MO),"5,356",23.9,"10,631","10,259",372,3.5
2,2018,29,29003,Andrew County (MO),"1,429",8.2,"9,725","9,472",253,2.6
3,2018,29,29005,Atchison County (MO),600,11.8,"2,768","2,700",68,2.5
4,2018,29,29007,Audrain County (MO),"3,883",16.7,"10,798","10,469",329,3
5,2018,29,29009,Barry County (MO),"6,658",18.8,"15,624","15,167",457,2.9
6,2018,29,29011,Barton County (MO),"2,057",17.6,"5,183","5,025",158,3
7,2018,29,29013,Bates County (MO),"2,267",14.2,"7,861","7,561",300,3.8
8,2018,29,29015,Benton County (MO),"3,834",20.2,"7,170","6,850",320,4.5
9,2018,29,29017,Bollinger County (MO),"1,871",15.6,"5,434","5,240",194,3.6
10,2018,29,29019,Boone County (MO),"28,584",16.8,"97,667","95,474","2,193",2.2
11,2018,29,29021,Buchanan County (MO),"13,117",15.6,"44,392","43,091","1,301",2.9
12,2018,29,29023,Butler County (MO),"8,567",20.5,"18,123","17,305",818,4.5
13,2018,29,29025,Caldwell County (MO),"1,281",14.4,"4,357","4,221",136,3.1
14,2018,29,29027,Callaway County (MO),"4,795",11.7,"21,145","20,538",607,2.9
15,2018,29,29029,Camden County (MO),"5,712",12.6,"18,605","17,828",777,4.2
16,2018,29,29031,Cape Girardeau County (MO),"10,334",13.8,"40,276","39,183","1,093",2.7
17,2018,29,29033,Carroll County (MO),"1,060",12.3,"4,667","4,522",145,3.1
18,2018,29,29035,Carter County (MO),"1,355",22.6,"2,507","2,382",125,5
19,2018,29,29037,Cass County (MO),"8,427",8.1,"54,304","52,656","1,648",3
20,2018,29,29039,Cedar County (MO),"2,502",17.9,"5,703","5,510",193,3.4
21,2018,29,29041,Chariton County (MO),967,13.4,"3,767","3,663",104,2.8
22,2018,29,29043,Christian County (MO),"7,388",8.6,"44,076","42,953","1,123",2.5
23,2018,29,29045,Clark County (MO),"1,001",14.9,"3,205","3,083",122,3.8
24,2018,29,29047,Clay County (MO),"17,153",7,"134,988","131,103","3,885",2.9
25,2018,29,29049,Clinton County (MO),"1,793",9,"10,673","10,335",338,3.2
26,2018,29,29051,Cole County (MO),"6,362",8.9,"38,512","37,566",946,2.5
27,2018,29,29053,Cooper County (MO),"2,242",14,"7,425","7,198",227,3.1
28,2018,29,29055,Crawford County (MO),"3,741",15.9,"10,849","10,432",417,3.8
29,2018,29,29057,Dade County (MO),"1,245",16.8,"3,569","3,474",95,2.7
30,2018,29,29059,Dallas County (MO),"2,750",16.6,"6,955","6,684",271,3.9
31,2018,29,29061,Daviess County (MO),"1,212",14.9,"4,038","3,918",120,3
32,2018,29,29063,DeKalb County (MO),"1,470",16,"4,852","4,702",150,3.1
33,2018,29,29065,Dent County (MO),"3,082",20.3,"6,213","6,011",202,3.3
34,2018,29,29067,Douglas County (MO),"2,593",19.7,"5,066","4,842",224,4.4
35,2018,29,29069,Dunklin County (MO),"7,462",26.1,"12,031","11,379",652,5.4
36,2018,29,29071,Franklin County (MO),"9,383",9.2,"52,594","51,005","1,589",3
37,2018,29,29073,Gasconade County (MO),"1,697",11.8,"7,746","7,524",222,2.9
38,2018,29,29075,Gentry County (MO),"1,007",15.5,"3,577","3,492",85,2.4
39,2018,29,29077,Greene County (MO),"43,423",15.5,"148,451","144,698","3,753",2.5
40,2018,29,29079,Grundy County (MO),"1,583",16.6,"4,544","4,383",161,3.5
41,2018,29,29081,Harrison County (MO),"1,277",15.5,"3,846","3,730",116,3
42,2018,29,29083,Henry County (MO),"3,606",16.8,"9,794","9,450",344,3.5
43,2018,29,29085,Hickory County (MO),"1,677",17.8,"3,843","3,687",156,4.1
44,2018,29,29087,Holt County (MO),572,13.3,"2,650","2,588",62,2.3
45,2018,29,29089,Howard County (MO),"1,233",13.1,"4,972","4,834",138,2.8
46,2018,29,29091,Howell County (MO),"8,371",21.3,"16,274","15,704",570,3.5
47,2018,29,29093,Iron County (MO),"1,966",19.9,"3,537","3,349",188,5.3
48,2018,29,29095,Jackson County (MO),"89,787",13,"359,032","345,609","13,423",3.7
49,2018,29,29097,Jasper County (MO),"19,498",16.6,"56,539","54,995","1,544",2.7
50,2018,29,29099,Jefferson County (MO),"19,327",8.7,"116,778","113,195","3,583",3.1
51,2018,29,29101,Johnson County (MO),"7,032",14.1,"22,772","21,941",831,3.6
52,2018,29,29103,Knox County (MO),640,16.6,"1,918","1,864",54,2.8
53,2018,29,29105,Laclede County (MO),"5,403",15.4,"16,792","16,179",613,3.7
54,2018,29,29107,Lafayette County (MO),"3,516",11,"16,757","16,219",538,3.2
55,2018,29,29109,Lawrence County (MO),"5,831",15.5,"18,090","17,545",545,3
56,2018,29,29111,Lewis County (MO),"1,405",15.4,"5,077","4,935",142,2.8
57,2018,29,29113,Lincoln County (MO),"6,055",10.6,"28,157","27,255",902,3.2
58,2018,29,29115,Linn County (MO),"1,976",16.7,"5,127","4,890",237,4.6
59,2018,29,29117,Livingston County (MO),"2,045",15.6,"7,508","7,324",184,2.5
60,2018,29,29119,McDonald County (MO),"4,083",17.9,"10,460","10,143",317,3
61,2018,29,29121,Macon County (MO),"2,064",13.9,"7,618","7,395",223,2.9
62,2018,29,29123,Madison County (MO),"1,982",16.6,"5,463","5,273",190,3.5
63,2018,29,29125,Maries County (MO),"1,205",13.9,"3,878","3,752",126,3.2
64,2018,29,29127,Marion County (MO),"3,686",13.5,"14,451","14,010",441,3.1
65,2018,29,29129,Mercer County (MO),439,12.2,"1,908","1,850",58,3
66,2018,29,29131,Miller County (MO),"4,204",16.9,"12,132","11,696",436,3.6
67,2018,29,29133,Mississippi County (MO),"3,069",26.8,"5,944","5,721",223,3.8
68,2018,29,29135,Moniteau County (MO),"1,723",11.7,"7,290","7,076",214,2.9
69,2018,29,29137,Monroe County (MO),"1,158",13.6,"3,962","3,823",139,3.5
70,2018,29,29139,Montgomery County (MO),"1,591",14.3,"5,695","5,532",163,2.9
71,2018,29,29141,Morgan County (MO),"3,250",16.3,"7,972","7,637",335,4.2
72,2018,29,29143,New Madrid County (MO),"3,089",18.3,"8,036","7,660",376,4.7
73,2018,29,29145,Newton County (MO),"9,144",16,"27,087","26,277",810,3
74,2018,29,29147,Nodaway County (MO),"3,715",19.8,"10,660","10,354",306,2.9
75,2018,29,29149,Oregon County (MO),"2,468",23.8,"3,945","3,810",135,3.4
76,2018,29,29151,Osage County (MO),"1,222",9.2,"7,062","6,895",167,2.4
77,2018,29,29153,Ozark County (MO),"1,962",22,"3,446","3,271",175,5.1
78,2018,29,29155,Pemiscot County (MO),"4,664",29.1,"6,319","5,978",341,5.4
79,2018,29,29157,Perry County (MO),"2,040",10.9,"10,183","9,949",234,2.3
80,2018,29,29159,Pettis County (MO),"6,885",16.6,"20,764","19,916",848,4.1
81,2018,29,29161,Phelps County (MO),"7,517",18.1,"19,687","19,089",598,3
82,2018,29,29163,Pike County (MO),"2,557",15.9,"7,682","7,407",275,3.6
83,2018,29,29165,Platte County (MO),"5,925",5.8,"58,039","56,565","1,474",2.5
84,2018,29,29167,Polk County (MO),"4,965",16.2,"14,412","13,893",519,3.6
85,2018,29,29169,Pulaski County (MO),"6,350",15.2,"14,619","14,099",520,3.6
86,2018,29,29171,Putnam County (MO),675,14.4,"2,424","2,341",83,3.4
87,2018,29,29173,Ralls County (MO),923,9.1,"5,619","5,463",156,2.8
88,2018,29,29175,Randolph County (MO),"3,960",17.6,"10,244","9,858",386,3.8
89,2018,29,29177,Ray County (MO),"2,220",9.9,"10,917","10,525",392,3.6
90,2018,29,29179,Reynolds County (MO),"1,240",20.3,"3,036","2,942",94,3.1
91,2018,29,29181,Ripley County (MO),"3,116",23.5,"5,100","4,837",263,5.2
92,2018,29,29183,St. Charles County (MO),"22,272",5.7,"224,590","219,001","5,589",2.5
93,2018,29,29185,St. Clair County (MO),"1,669",18.2,"3,794","3,631",163,4.3
94,2018,29,29186,Ste. Genevieve County (MO),"1,720",9.8,"9,207","8,952",255,2.8
95,2018,29,29187,St. Francois County (MO),"11,341",19,"26,531","25,577",954,3.6
96,2018,29,29189,St. Louis County (MO),"102,720",10.5,"526,570","511,002","15,568",3
97,2018,29,29195,Saline County (MO),"3,188",14.8,"10,734","10,408",326,3
98,2018,29,29197,Schuyler County (MO),764,16.9,"2,012","1,931",81,4
99,2018,29,29199,Scotland County (MO),685,14.1,"2,393","2,326",67,2.8
100,2018,29,29201,Scott County (MO),"7,210",19.1,"20,058","19,383",675,3.4
101,2018,29,29203,Shannon County (MO),"1,829",22.6,"3,240","3,081",159,4.9
102,2018,29,29205,Shelby County (MO),834,14.3,"3,025","2,933",92,3
103,2018,29,29207,Stoddard County (MO),"4,238",14.8,"13,094","12,522",572,4.4
104,2018,29,29209,Stone County (MO),"4,204",13.4,"13,732","13,096",636,4.6
105,2018,29,29211,Sullivan County (MO),935,15.3,"2,799","2,712",87,3.1
106,2018,29,29213,Taney County (MO),"8,367",15.4,"26,951","25,569","1,382",5.1
107,2018,29,29215,Texas County (MO),"5,806",24.6,"9,034","8,672",362,4
108,2018,29,29217,Vernon County (MO),"3,387",17.2,"9,574","9,277",297,3.1
109,2018,29,29219,Warren County (MO),"3,606",10.5,"17,779","17,288",491,2.8
110,2018,29,29221,Washington County (MO),"5,145",21.7,"10,214","9,766",448,4.4
111,2018,29,29223,Wayne County (MO),"3,018",23.3,"5,341","5,088",253,4.7
112,2018,29,29225,Webster County (MO),"5,384",14.1,"16,987","16,467",520,3.1
113,2018,29,29227,Worth County (MO),279,14.1,"1,193","1,159",34,2.8
114,2018,29,29229,Wright County (MO),"4,330",23.9,"7,427","7,123",304,4.1
115,2018,29,29510,St. Louis city (MO),"66,858",22.8,"151,245","145,477","5,768",3.8